age,,education,education-num,race,capital-gain,capital-loss,hours-per-week,native-country,Income
39,77516, Bachelors,13, White,2174,0,40, United-States, <=50K
50,83311, Bachelors,13, White,0,0,13, United-States, <=50K
38,215646, HS-grad,9, White,0,0,40, United-States, <=50K
53,234721, 11th,7, Black,0,0,40, United-States, <=50K
28,338409, Bachelors,13, Black,0,0,40, Cuba, <=50K
37,284582, Masters,14, White,0,0,40, United-States, <=50K
49,160187, 9th,5, Black,0,0,16, Jamaica, <=50K
52,209642, HS-grad,9, White,0,0,45, United-States, >50K
31,45781, Masters,14, White,14084,0,50, United-States, >50K
42,159449, Bachelors,13, White,5178,0,40, United-States, >50K
37,280464, Some-college,10, Black,0,0,80, United-States, >50K
30,141297, Bachelors,13, Asian-Pac-Islander,0,0,40, India, >50K
23,122272, Bachelors,13, White,0,0,30, United-States, <=50K
32,205019, Assoc-acdm,12, Black,0,0,50, United-States, <=50K
40,121772, Assoc-voc,11, Asian-Pac-Islander,0,0,40, ?, >50K
34,245487, 7th-8th,4, Amer-Indian-Eskimo,0,0,45, Mexico, <=50K
25,176756, HS-grad,9, White,0,0,35, United-States, <=50K
32,186824, HS-grad,9, White,0,0,40, United-States, <=50K
38,28887, 11th,7, White,0,0,50, United-States, <=50K
43,292175, Masters,14, White,0,0,45, United-States, >50K
40,193524, Doctorate,16, White,0,0,60, United-States, >50K
54,302146, HS-grad,9, Black,0,0,20, United-States, <=50K
35,76845, 9th,5, Black,0,0,40, United-States, <=50K
43,117037, 11th,7, White,0,2042,40, United-States, <=50K
59,109015, HS-grad,9, White,0,0,40, United-States, <=50K
56,216851, Bachelors,13, White,0,0,40, United-States, >50K
19,168294, HS-grad,9, White,0,0,40, United-States, <=50K
54,180211, Some-college,10, Asian-Pac-Islander,0,0,60, South, >50K
39,367260, HS-grad,9, White,0,0,80, United-States, <=50K
49,193366, HS-grad,9, White,0,0,40, United-States, <=50K
23,190709, Assoc-acdm,12, White,0,0,52, United-States, <=50K
20,266015, Some-college,10, Black,0,0,44, United-States, <=50K
45,386940, Bachelors,13, White,0,1408,40, United-States, <=50K
30,59951, Some-college,10, White,0,0,40, United-States, <=50K
22,311512, Some-college,10, Black,0,0,15, United-States, <=50K
48,242406, 11th,7, White,0,0,40, Puerto-Rico, <=50K
21,197200, Some-college,10, White,0,0,40, United-States, <=50K
19,544091, HS-grad,9, White,0,0,25, United-States, <=50K
31,84154, Some-college,10, White,0,0,38, ?, >50K
48,265477, Assoc-acdm,12, White,0,0,40, United-States, <=50K
31,507875, 9th,5, White,0,0,43, United-States, <=50K
53,88506, Bachelors,13, White,0,0,40, United-States, <=50K
24,172987, Bachelors,13, White,0,0,50, United-States, <=50K
49,94638, HS-grad,9, White,0,0,40, United-States, <=50K
25,289980, HS-grad,9, White,0,0,35, United-States, <=50K
57,337895, Bachelors,13, Black,0,0,40, United-States, >50K
53,144361, HS-grad,9, White,0,0,38, United-States, <=50K
44,128354, Masters,14, White,0,0,40, United-States, <=50K
41,101603, Assoc-voc,11, White,0,0,40, United-States, <=50K
29,271466, Assoc-voc,11, White,0,0,43, United-States, <=50K
25,32275, Some-college,10, Other,0,0,40, United-States, <=50K
18,226956, HS-grad,9, White,0,0,30, ?, <=50K
47,51835, Prof-school,15, White,0,1902,60, Honduras, >50K
50,251585, Bachelors,13, White,0,0,55, United-States, >50K
47,109832, HS-grad,9, White,0,0,60, United-States, <=50K
43,237993, Some-college,10, White,0,0,40, United-States, >50K
46,216666, 5th-6th,3, White,0,0,40, Mexico, <=50K
35,56352, Assoc-voc,11, White,0,0,40, Puerto-Rico, <=50K
41,147372, HS-grad,9, White,0,0,48, United-States, <=50K
30,188146, HS-grad,9, White,5013,0,40, United-States, <=50K
30,59496, Bachelors,13, White,2407,0,40, United-States, <=50K
32,293936, 7th-8th,4, White,0,0,40, ?, <=50K
48,149640, HS-grad,9, White,0,0,40, United-States, <=50K
42,116632, Doctorate,16, White,0,0,45, United-States, >50K
29,105598, Some-college,10, White,0,0,58, United-States, <=50K
36,155537, HS-grad,9, White,0,0,40, United-States, <=50K
28,183175, Some-college,10, White,0,0,40, United-States, <=50K
53,169846, HS-grad,9, White,0,0,40, United-States, >50K
49,191681, Some-college,10, White,0,0,50, United-States, >50K
25,200681, Some-college,10, White,0,0,40, United-States, <=50K
19,101509, Some-college,10, White,0,0,32, United-States, <=50K
31,309974, Bachelors,13, Black,0,0,40, United-States, <=50K
29,162298, Bachelors,13, White,0,0,70, United-States, >50K
23,211678, Some-college,10, White,0,0,40, United-States, <=50K
79,124744, Some-college,10, White,0,0,20, United-States, <=50K
27,213921, HS-grad,9, White,0,0,40, Mexico, <=50K
40,32214, Assoc-acdm,12, White,0,0,40, United-States, <=50K
67,212759, 10th,6, White,0,0,2, United-States, <=50K
18,309634, 11th,7, White,0,0,22, United-States, <=50K
31,125927, 7th-8th,4, White,0,0,40, United-States, <=50K
18,446839, HS-grad,9, White,0,0,30, United-States, <=50K
52,276515, Bachelors,13, White,0,0,40, Cuba, <=50K
46,51618, HS-grad,9, White,0,0,40, United-States, <=50K
59,159937, HS-grad,9, White,0,0,48, United-States, <=50K
44,343591, HS-grad,9, White,14344,0,40, United-States, >50K
53,346253, HS-grad,9, White,0,0,35, United-States, <=50K
49,268234, HS-grad,9, White,0,0,40, United-States, >50K
33,202051, Masters,14, White,0,0,50, United-States, <=50K
30,54334, 9th,5, White,0,0,40, United-States, <=50K
43,410867, Doctorate,16, White,0,0,50, United-States, >50K
57,249977, Assoc-voc,11, White,0,0,40, United-States, <=50K
37,286730, Some-college,10, White,0,0,40, United-States, <=50K
28,212563, Some-college,10, Black,0,0,25, United-States, <=50K
30,117747, HS-grad,9, Asian-Pac-Islander,0,1573,35, ?, <=50K
34,226296, Bachelors,13, White,0,0,40, United-States, >50K
29,115585, Some-college,10, White,0,0,50, United-States, <=50K
48,191277, Doctorate,16, White,0,1902,60, United-States, >50K
37,202683, Some-college,10, White,0,0,48, United-States, >50K
48,171095, Assoc-acdm,12, White,0,0,40, England, <=50K
32,249409, HS-grad,9, Black,0,0,40, United-States, <=50K
76,124191, Masters,14, White,0,0,40, United-States, >50K
44,198282, Bachelors,13, White,15024,0,60, United-States, >50K
47,149116, Masters,14, White,0,0,50, United-States, <=50K
20,188300, Some-college,10, White,0,0,40, United-States, <=50K
29,103432, HS-grad,9, White,0,0,40, United-States, <=50K
32,317660, HS-grad,9, White,7688,0,40, United-States, >50K
17,304873, 10th,6, White,34095,0,32, United-States, <=50K
30,194901, 11th,7, White,0,0,40, United-States, <=50K
31,189265, HS-grad,9, White,0,0,40, United-States, <=50K
42,124692, HS-grad,9, White,0,0,40, United-States, <=50K
24,432376, Bachelors,13, White,0,0,40, United-States, <=50K
38,65324, Prof-school,15, White,0,0,40, United-States, >50K
56,335605, HS-grad,9, White,0,1887,50, Canada, >50K
28,377869, Some-college,10, White,4064,0,25, United-States, <=50K
36,102864, HS-grad,9, White,0,0,40, United-States, <=50K
53,95647, 9th,5, White,0,0,50, United-States, <=50K
56,303090, Some-college,10, White,0,0,50, United-States, <=50K
49,197371, Assoc-voc,11, Black,0,0,40, United-States, >50K
55,247552, Some-college,10, White,0,0,56, United-States, <=50K
22,102632, HS-grad,9, White,0,0,41, United-States, <=50K
21,199915, Some-college,10, White,0,0,40, United-States, <=50K
40,118853, Bachelors,13, White,0,0,60, United-States, <=50K
30,77143, Bachelors,13, Black,0,0,40, Germany, <=50K
29,267989, Bachelors,13, White,0,0,50, United-States, >50K
19,301606, Some-college,10, Black,0,0,35, United-States, <=50K
47,287828, Bachelors,13, White,0,0,40, United-States, >50K
20,111697, Some-college,10, White,0,1719,28, United-States, <=50K
31,114937, Assoc-acdm,12, White,0,0,40, United-States, >50K
35,129305, HS-grad,9, White,0,0,40, United-States, <=50K
39,365739, Some-college,10, White,0,0,40, United-States, <=50K
28,69621, Assoc-acdm,12, White,0,0,60, United-States, <=50K
24,43323, HS-grad,9, White,0,1762,40, United-States, <=50K
38,120985, HS-grad,9, White,4386,0,35, United-States, <=50K
37,254202, Bachelors,13, White,0,0,50, United-States, <=50K
46,146195, Assoc-acdm,12, Black,0,0,36, United-States, <=50K
38,125933, Masters,14, White,0,0,40, Iran, >50K
43,56920, HS-grad,9, White,0,0,60, United-States, <=50K
27,163127, Assoc-voc,11, White,0,0,35, United-States, <=50K
20,34310, Some-college,10, White,0,0,20, United-States, <=50K
49,81973, Some-college,10, Asian-Pac-Islander,0,0,40, United-States, >50K
61,66614, HS-grad,9, White,0,0,40, United-States, <=50K
